sec,EEG,alpha,beta,delta,theta
3.685,-12.3901,-0.30114,-0.30494,-9.66241,-0.635976
3.69,-11.9934,-0.471039,0.143515,-9.80155,-0.346955
3.695,-11.2305,-0.61133,0.454438,-9.92543,-0.0481304
3.7,-10.7117,-0.695284,0.456488,-10.0336,0.250821
3.705,-11.0901,-0.701721,0.195182,-10.1258,0.540273
3.71,-11.3342,-0.618756,-0.110018,-10.2018,0.811011
3.715,-10.8826,-0.446416,-0.227902,-10.2613,1.05453
3.72,-10.1379,-0.197585,-0.0811655,-10.3043,1.26331
3.725,-9.32617,0.102851,0.200359,-10.3307,1.43109
3.73,-8.56934,0.420674,0.374154,-10.3405,1.55309
3.735,-8.14209,0.716599,0.260623,-10.3339,1.62613
3.74,-8.23364,0.951414,-0.122293,-10.3111,1.64865
3.745,-8.48999,1.09138,-0.560324,-10.2724,1.62085
3.75,-8.6792,1.11295,-0.776891,-10.218,1.54474
3.755,-8.25806,1.0066,-0.61026,-10.1485,1.42388
3.76,-7.57446,0.778575,-0.11768,-10.0642,1.26318
3.765,-7.52563,0.450735,0.458427,-9.96574,1.06874
3.77,-7.75757,0.0584615,0.835075,-9.85371,0.847614
3.775,-8.36792,-0.353394,0.848353,-9.72878,0.607541
3.78,-9.16748,-0.736132,0.531406,-9.59166,0.356621
3.785,-9.74731,-1.0433,0.0722803,-9.44311,0.103054
3.79,-10.437,-1.23676,-0.310372,-9.28393,-0.14501
3.795,-10.8398,-1.29165,-0.487449,-9.11498,-0.379864
3.8,-10.9985,-1.19956,-0.465855,-8.93715,-0.594531
