Time,EEG,State
84.47,-14.6606,0
84.475,-14.386,0
84.48,-14.0076,0
84.485,-16.449,0
84.49,-17.4133,0
84.495,-14.8682,0
84.5,-12.4207,0
84.505,-13.8916,0
84.51,-16.1438,0
84.515,-20.8374,0
84.52,-22.1008,0
84.525,-20.7275,0
84.53,-18.4448,0
84.535,-15.8691,0
84.54,-15.0391,0
84.545,-14.6362,0
84.55,-15.8936,0
84.555,-20.4041,0
84.56,-22.8394,0
84.565,-21.5759,0
84.57,-19.6899,0
84.575,-17.5537,0
84.58,-18.2495,0
84.585,-18.3228,0
84.59,-16.0461,0
84.595,-15.3503,0
84.6,-12.4817,0
84.605,-14.7461,0
84.61,-17.3157,0
84.615,-18.8049,0
84.62,-19.3359,0
84.625,-19.3359,0
84.63,-17.2913,0
84.635,-16.4368,0
84.64,-16.5222,0
84.645,-17.1753,0
84.65,-18.3228,0
84.655,-21.3257,0
84.66,-20.7092,0
84.665,-20.9839,0
84.67,-18.5852,0
84.675,-14.8804,0
84.68,-17.9199,0
84.685,-18.9148,0
84.69,-18.9819,0
84.695,-22.0337,0
84.7,-19.0491,0
84.705,-16.5955,0
84.71,-15.5029,0
84.715,-14.1418,0
84.72,-14.1174,0
84.725,-17.3828,0
84.73,-19.3359,0
84.735,-19.9951,0
84.74,-17.7612,0
84.745,-15.0696,0
84.75,-13.0249,0
84.755,-14.1663,0
84.76,-15.7043,0
84.765,-14.0503,0
84.77,-13.2996,0
84.775,-12.4817,0
84.78,-12.4634,0
84.785,-11.0535,0
84.79,-10.7727,0
84.795,-13.0981,0
84.8,-14.4226,0
84.805,-16.4246,0
84.81,-16.3147,0
84.815,-12.4207,0
84.82,-8.30688,0
84.825,-9.24683,0
84.83,-10.5103,0
84.835,-12.262,0
84.84,-12.3474,0
84.845,-8.75854,0
84.85,-6.98853,0
84.855,-8.22754,0
84.86,-10.3149,0
84.865,-13.269,0
84.87,-13.385,0
84.875,-11.9141,0
84.88,-9.83887,0
84.885,-9.5459,0
84.89,-10.7727,0
84.895,-10.7788,0
84.9,-11.1877,0
84.905,-11.0168,0
84.91,-12.5854,0
84.915,-11.3037,0
84.92,-10.6689,0
84.925,-11.4075,0
84.93,-12.4329,0
84.935,-11.6943,0
84.94,-9.24683,0
84.945,-8.34961,0
84.95,-8.82568,0
84.955,-8.22754,0
84.96,-9.63135,0
84.965,-7.9895,0
84.97,-2.92969,0
84.975,-2.06299,0
84.98,-4.66309,0
84.985,-6.49414,0
84.99,-3.6499,0
84.995,-1.77002,0
85,-0.57373,0
85.005,-4.29688,0
85.01,-7.23877,0
85.015,-11.0413,0
85.02,-12.0056,0
85.025,-7.62939,0
85.03,-4.80347,0
85.035,-6.79321,0
85.04,-8.48999,0
85.045,-8.00781,0
85.05,-7.65991,0
85.055,-5.80444,0
85.06,-4.49219,0
85.065,-5.60303,0
85.07,-9.68018,0
85.075,-9.8938,0
85.08,-6.53687,0
85.085,-4.13818,0
85.09,-2.94189,0
85.095,-4.05884,0
85.1,-3.302,0
85.105,-3.06396,0
85.11,-4.08936,0
85.115,-2.97241,0
85.12,-0.836182,0
85.125,-1.31836,0
85.13,-1.12305,0
85.135,-1.47705,0
85.14,-1.95313,0
85.145,-1.62354,0
85.15,-2.01416,0
85.155,-2.35596,0
85.16,-2.2583,0
85.165,-1.67847,0
85.17,-0.750732,0
85.175,0.860596,0
85.18,1.87378,0
85.185,-1.82495,0
85.19,-3.93677,0
85.195,-2.98462,0
85.2,-1.80664,0
85.205,-0.592041,0
85.21,0.946045,0
85.215,1.19019,0
85.22,-0.378418,0
85.225,-0.109863,0
85.23,0.952148,0
85.235,1.22681,0
85.24,-0.0488281,0
85.245,-0.366211,0
85.25,-0.238037,0
85.255,-1.3855,0
85.26,1.77002,0
85.265,5.58472,0
85.27,5.92041,0
85.275,1.5625,0
85.28,-3.48511,0
85.285,-5.82886,0
85.29,-2.75879,0
85.295,-0.463867,0
85.3,1.12915,0
85.305,1.72729,0
85.31,2.2583,0
85.315,3.66211,0
85.32,2.66724,0
85.325,1.00708,0
85.33,-0.128174,0
85.335,0.640869,0
85.34,1.33667,0
85.345,-0.140381,0
85.35,-3.68652,0
85.355,-6.2439,0
85.36,-5.48706,0
85.365,-6.06689,0
85.37,-5.33447,0
85.375,-5.04761,0
85.38,-5.84106,0
85.385,-6.27441,0
85.39,-6.2439,0
85.395,-6.09131,0
85.4,-4.74854,0
85.405,-3.53394,0
85.41,-3.77808,0
85.415,-4.71802,0
85.42,-6.05469,0
85.425,-7.19604,0
85.43,-6.32324,0
85.435,-6.18896,0
85.44,-6.32935,0
85.445,-6.98242,0
85.45,-5.34668,0
85.455,-2.75879,0
85.46,-1.3855,0
85.465,-2.06909,0
85.47,-3.9856,0
85.475,-4.39453,0
85.48,-1.98364,0
85.485,2.01416,0
85.49,2.6001,0
85.495,0.146484,0
85.5,-1.13525,0
85.505,-1.92261,0
85.51,-2.83203,0
85.515,-3.58276,0
85.52,-3.96729,0
85.525,-4.30298,0
85.53,-3.48511,0
85.535,-2.47803,0
85.54,-2.91748,0
85.545,-3.67432,0
85.55,-2.6123,0
85.555,-0.189209,0
85.56,1.51978,0
85.565,1.17798,0
85.57,0.402832,0
85.575,-0.32959,0
85.58,-1.74561,0
85.585,-1.80054,0
85.59,-2.78931,0
85.595,-4.37622,0
85.6,-3.31421,0
85.605,-0.0244141,0
85.61,2.7771,0
85.615,2.36206,0
85.62,1.33667,0
85.625,0.567627,0
85.63,1.45264,0
85.635,3.51563,0
85.64,2.75879,0
85.645,1.16577,0
85.65,0.0366211,0
85.655,-1.30005,0
85.66,-2.36206,0
85.665,0.213623,0
85.67,2.6123,0
85.675,1.17798,0
85.68,-0.952148,0
85.685,-7.38525,0
85.69,-11.908,0
85.695,-15.863,0
85.7,-16.6138,0
85.705,-15.8508,0
85.71,-15.1001,0
85.715,-17.1448,0
85.72,-18.6584,0
85.725,-18.7805,0
85.73,-17.4744,0
85.735,-15.1001,0
85.74,-13.147,0
85.745,-12.1704,0
85.75,-13.0493,0
85.755,-13.1165,0
85.76,-12.1338,0
85.765,-10.5652,0
85.77,-10.5103,0
85.775,-10.0342,0
85.78,-10.0464,0
85.785,-10.9985,0
85.79,-12.2437,0
85.795,-11.8408,0
85.8,-11.0596,0
85.805,-12.7258,0
85.81,-13.5925,0
85.815,-13.4521,0
85.82,-13.6597,0
85.825,-12.7075,0
85.83,-10.4431,0
85.835,-8.25195,0
85.84,-6.10962,0
85.845,-5.99976,0
85.85,-8.48999,0
85.855,-10.0403,0
85.86,-10.1379,0
85.865,-9.05151,0
85.87,-7.62939,0
85.875,-7.39746,0
85.88,-7.00073,0
85.885,-7.03735,0
85.89,-8.01392,0
85.895,-8.56934,0
85.9,-9.52148,0
85.905,-9.75342,0
85.91,-7.03735,0
85.915,-3.32031,0
85.92,1.24512,0
85.925,2.30713,0
85.93,-0.854492,0
85.935,-4.20532,0
85.94,-7.42798,0
85.945,-8.05054,0
85.95,-7.13501,0
85.955,-5.96313,0
85.96,-6.25,0
85.965,-6.33545,0
85.97,-4.76074,0
85.975,-3.41797,0
85.98,-2.44141,0
85.985,-1.9104,0
85.99,-0.390625,0
85.995,0.415039,0
86,-0.671387,0
86.005,-2.59399,0
86.01,-4.20532,0
86.015,-4.14429,0
86.02,-2.32544,0
86.025,-0.640869,0
86.03,0.354004,0
86.035,0.994873,0
86.04,1.28174,0
86.045,1.31836,0
86.05,0.482178,0
86.055,-0.909424,0
86.06,-2.19727,0
86.065,-2.56348,0
86.07,-1.63574,0
86.075,-0.891113,0
86.08,-1.74561,0
86.085,-3.94897,0
86.09,-4.37622,0
86.095,-6.86035,0
86.1,-8.74023,0
86.105,-4.95605,0
86.11,-1.84326,0
86.115,0.354004,0
86.12,7.15942,0
86.125,15.0757,0
86.13,22.3389,0
86.135,26.9653,0
86.14,28.6865,0
86.145,27.9236,0
86.15,25.6226,0
86.155,25.4639,0
86.16,24.6155,0
86.165,22.7966,0
86.17,21.6064,0
86.175,22.4792,0
86.18,23.6389,0
86.185,24.0784,0
86.19,24.7192,0
86.195,24.5544,0
86.2,22.0337,0
86.205,19.1895,0
86.21,14.563,0
86.215,12.2498,0
86.22,11.3159,0
86.225,11.1084,0
86.23,11.6028,0
86.235,12.5488,0
86.24,12.9089,0
86.245,13.6719,0
86.25,12.9822,0
86.255,10.5225,0
86.26,9.38721,0
86.265,9.729,0
86.27,11.1938,0
86.275,12.1216,0
86.28,11.7798,0
86.285,9.86328,0
86.29,7.31812,0
86.295,6.39648,0
86.3,7.25708,0
86.305,7.04956,0
86.31,7.8064,0
86.315,6.97632,0
86.32,4.07715,0
86.325,2.69775,0
86.33,3.61938,0
86.335,6.03027,0
