EEG,sec
-0.004713579724171875,33.676
-0.004505279519859375,33.68
-0.004395166981875,33.684
-0.004553864329025391,33.688
-0.004739188444394532,33.692
-0.004699726687113282,33.696
-0.0044884462372343755,33.7
-0.004387153864839844,33.704
-0.004560871066236328,33.708
-0.004760914580425781,33.712
-0.004696012805240234,33.716
-0.004483909263070312,33.72
-0.004384906283232422,33.724
-0.0045648421340644535,33.728
-0.004757596444048828,33.732
-0.004674910916404297,33.736
-0.004463041710019531,33.74
-0.0043867430479550785,33.744
-0.004579221211205078,33.748
-0.00476384766713086,33.752
-0.004684906164136719,33.756
-0.004468669172080078,33.76
-0.004382169610753907,33.764
-0.0045811124273964846,33.768
-0.004776287396871094,33.772
-0.004683472437517578,33.776
-0.004462921138910157,33.78
-0.004405580825273437,33.784
-0.0046013445512539065,33.788
-0.004761526673275391,33.792
-0.004668236722091797,33.796
-0.004450114834103516,33.8
-0.00440253348771875,33.804
-0.004609396076021484,33.808
-0.0047716984021074224,33.812
-0.004669106973244141,33.816
-0.004442976829958985,33.82
-0.004414394670603516,33.824
-0.004615942892791016,33.828
-0.004771150970376953,33.832
-0.0046592857757421875,33.836
-0.004436362435027344,33.84
-0.004410255386630859,33.844
-0.004617647418232422,33.848
-0.004779983776486328,33.852
-0.0046455659503125005,33.856
-0.004432825520427734,33.86
-0.004434116311941407,33.864
-0.004638385649044922,33.868
-0.004778028385349609,33.872
-0.004651259532013672,33.876
-0.004427685204542969,33.88
-0.004430202126451172,33.884
-0.0046361891156894534,33.888
-0.004775294143740234,33.892
-0.004638160064388672,33.896
-0.00441953790353125,33.9
-0.004430152050546875,33.904
-0.004649427142855469,33.908
-0.004799097214365234,33.912
-0.004634727677162109,33.916
-0.004424047651960938,33.92
-0.004444477162392578,33.924
-0.004659900299460938,33.928
-0.004774948474148438,33.932
-0.004630491644597656,33.936
-0.004411205370291015,33.94
-0.004442530522384766,33.944
-0.004672114444544922,33.948
-0.004777925802671875,33.952
-0.004614975406873047,33.956
-0.004408189634035157,33.96
-0.004451420210832032,33.964
-0.0046803157108515625,33.968
-0.004762445541810547,33.972
-0.004602351417251954,33.976
-0.004400903346873047,33.98
-0.004466490627156251,33.984
-0.004686928647261719,33.988
-0.004782035916214844,33.992
-0.004597782355615234,33.996
-0.0044000851163203125,34.0
-0.004469386278476563,34.004
-0.004680594288455078,34.008
-0.00477006291334961,34.012
-0.004587218284503906,34.016
-0.004402195110734375,34.02
-0.004477193257808594,34.024
-0.004704548072966797,34.028
-0.004766470574933594,34.032
-0.004568257019033203,34.036
-0.004397547288937501,34.04
-0.004464262006328125,34.044
-0.004694605818181641,34.048
-0.004751488642246094,34.052
-0.004566143135228516,34.056
-0.004389240522910156,34.06
-0.004476580192611328,34.064
-0.004721171814671875,34.068
-0.004752688033080078,34.072
-0.0045591325086269535,34.076
-0.004402868461486328,34.08
-0.0044882206525781254,34.084
-0.004719226633185547,34.088
-0.004749532278761719,34.092
-0.004553549774558594,34.096
-0.004384628191802735,34.1
-0.004490157569109375,34.104
-0.004718639821375,34.108
-0.004744005940857422,34.112
-0.004551819968078125,34.116
-0.004379747006568359,34.12
-0.004529771498798828,34.124
-0.004755420329994141,34.128
-0.004735951985220703,34.132
-0.004536496255189453,34.136
-0.004380267698738282,34.14
-0.004517717304904297,34.144
-0.004733472498697266,34.148
-0.004730647828755859,34.152
-0.004528406322689453,34.156
-0.004397066463021485,34.16
-0.004544867196162109,34.164
-0.004758962106332031,34.168
-0.004734895529492187,34.172
-0.004527405290777344,34.176
-0.0043947581096855474,34.18
-0.004539775497660156,34.184
-0.004761880607822266,34.188
-0.004735724455869141,34.192
-0.00452469389933789,34.196
-0.004398044158589844,34.2
-0.004536918740246094,34.204
-0.004770111044558594,34.208
-0.004726598486941407,34.212
-0.004515196493605469,34.216
-0.004405202582035157,34.22
-0.004549160111064454,34.224
-0.004771563245783203,34.228
-0.004716114634511719,34.232
-0.004502453391396485,34.236
-0.0043990354670253905,34.24
-0.004549889857980469,34.244
-0.004765509895449219,34.248
-0.004716539064263672,34.252
-0.004491578655208985,34.256
-0.004393847992279297,34.26
-0.004562082611416016,34.264
-0.004771353218689454,34.268
-0.0047029757868066405,34.272
-0.004479614403472656,34.276
-0.004401618022400391,34.28
-0.00458603493740625,34.284
-0.004777247104007813,34.288
-0.004690024116025391,34.292
-0.004459865536400391,34.296
-0.0044140796299628905,34.3
-0.004586061190792969,34.304
-0.004772083451779297,34.308
-0.004690656142001953,34.312
-0.004463700475556641,34.316
-0.004408510994935547,34.32
-0.004588588808525391,34.324
-0.0047587457589785154,34.328
-0.00466851578586914,34.332
-0.004469995940457032,34.336
-0.004407965021726563,34.34
-0.0046008768520312505,34.344
-0.004768134747947266,34.348
-0.004672659931580079,34.352
-0.0044484268385722656,34.356
-0.00441588187634375,34.36
-0.004612973829222656,34.364
-0.004778735282095704,34.368
-0.00466791195797461,34.372
-0.004441392389453125,34.376
-0.004422158380464844,34.38
-0.004607109114333985,34.384
-0.004780584687337891,34.388
-0.0046556477369863285,34.392
-0.0044434056352753905,34.396
-0.004420978436583984,34.4
-0.00462674907846875,34.404
-0.004783811909208985,34.408
-0.0046575968078632814,34.412
