sec,EEG
66.98,-2.41699
66.985,-2.0813
66.99,-10.0281
66.995,-12.97
67,-9.32007
67.005,-5.08423
67.01,-8.82568
67.015,-14.5447
67.02,-16.4307
67.025,-16.9678
67.03,-13.0249
67.035,-6.7627
67.04,-5.46875
67.045,-7.20825
67.05,-7.2876
67.055,-5.896
67.06,-3.73535
67.065,-7.52563
67.07,-11.2427
67.075,-12.8845
67.08,-12.7136
67.085,-9.21631
67.09,-6.84204
67.095,-6.93359
67.1,-4.60815
67.105,-0.0976563
67.11,-0.22583
67.115,-2.04468
67.12,-2.94189
67.125,-5.7251
67.13,-4.20532
67.135,-1.31836
67.14,-3.22266
67.145,-4.18091
67.15,-1.09863
67.155,-2.17285
67.16,-5.19409
67.165,-4.99878
67.17,-4.27246
67.175,-3.55835
67.18,-1.61133
67.185,-3.52173
67.19,-6.96411
67.195,-7.4707
67.2,-6.96411
67.205,-5.3894
67.21,-3.78418
67.215,0.43335
67.22,0.299072
67.225,-4.76074
67.23,-10.9985
67.235,-10.6873
67.24,-5.09644
67.245,-0.415039
67.25,0.891113
67.255,-1.83105
67.26,-3.73535
67.265,-3.37524
67.27,-1.00708
67.275,-1.0437
67.28,-3.69873
67.285,-5.96313
67.29,-3.88794
67.295,-2.31934
67.3,-5.0415
67.305,-7.69653
67.31,-9.86328
67.315,-11.3098
67.32,-7.4646
67.325,-3.9917
67.33,1.87378
67.335,5.67017
67.34,3.49731
67.345,1.48926
67.35,4.20532
67.355,3.1311
67.36,-0.878906
67.365,-2.19116
67.37,-2.83813
67.375,-2.10571
67.38,1.31226
67.385,1.36108
67.39,-1.89819
67.395,-2.86865
67.4,-1.45264
67.405,0.0610352
67.41,-4.37622
67.415,-8.22144
67.42,-5.34668
67.425,-2.13013
67.43,-1.00098
67.435,-2.37427
67.44,-2.64282
67.445,-0.732422
67.45,0.958252
67.455,-0.762939
67.46,-2.53296
67.465,-3.80859
67.47,-3.49121
67.475,-0.170898
67.48,0.927734
67.485,-1.10474
67.49,0.3479
67.495,4.64478
67.5,5.56641
67.505,4.71191
67.51,4.03442
67.515,5.49316
67.52,6.56738
67.525,7.73926
67.53,6.54297
67.535,1.26343
67.54,-0.622559
67.545,0.494385
67.55,3.84521
67.555,6.67725
67.56,6.86035
67.565,3.52173
67.57,1.47095
67.575,3.55835
67.58,5.13306
67.585,2.61841
67.59,-0.958252
67.595,-2.91138
67.6,-1.71509
67.605,1.46484
67.61,1.92261
67.615,-1.81274
67.62,-3.74146
67.625,-0.292969
67.63,2.7832
67.635,0.683594
67.64,-4.21143
67.645,-7.50732
67.65,-6.56738
67.655,-0.933838
67.66,3.60718
67.665,5.34058
67.67,3.62549
67.675,0.964355
67.68,0.488281
67.685,0.805664
67.69,1.16577
67.695,0.415039
67.7,0.244141
67.705,-0.256348
67.71,1.52588
67.715,4.54102
67.72,5.41992
67.725,3.52173
67.73,2.86255
67.735,4.5105
67.74,7.39136
67.745,6.53687
67.75,4.96826
67.755,4.49219
67.76,4.13818
67.765,3.23486
67.77,2.70996
67.775,1.9165
67.78,2.97852
67.785,4.00391
67.79,4.18091
67.795,4.19922
67.8,6.70166
67.805,3.59497
67.81,-2.771
67.815,-6.19507
67.82,-8.98438
67.825,-8.38623
67.83,-3.04565
67.835,-3.25928
67.84,-7.93457
67.845,-6.41479
67.85,-3.87573
67.855,-3.92456
67.86,-3.03955
67.865,-2.56348
67.87,-1.98975
67.875,-1.18408
67.88,1.63574
67.885,5.62134
67.89,5.63965
67.895,0.714111
67.9,-2.47192
67.905,-3.00903
67.91,-0.280762
67.915,3.00903
67.92,3.24097
67.925,0.933838
67.93,0.579834
67.935,4.6814
67.94,8.46558
67.945,6.69556
67.95,3.83301
67.955,2.12402
67.96,0.305176
67.965,-1.2207
67.97,-2.19727
67.975,-2.22168
67.98,-1.18408
67.985,0.341797
67.99,1.75781
67.995,-0.0183105
68,-1.45264
68.005,-1.2207
68.01,-1.06201
68.015,-0.787354
68.02,0.299072
68.025,0.689697
68.03,1.60522
68.035,2.4231
68.04,1.86768
68.045,1.79443
68.05,2.58789
68.055,2.93579
68.06,3.39966
68.065,4.63867
68.07,6.45142
68.075,6.44531
68.08,4.91943
68.085,2.75879
68.09,-0.927734
68.095,-3.90015
68.1,-4.21143
68.105,-3.84521
68.11,-2.23999
68.115,-2.02637
68.12,-2.61841
68.125,-3.21045
68.13,-3.08838
68.135,-1.92871
68.14,-1.98364
68.145,-2.19116
68.15,-1.52588
68.155,-1.07422
68.16,-1.0437
68.165,-1.80664
68.17,-2.63672
68.175,-0.286865
68.18,0.549316
68.185,-1.15356
68.19,-1.5625
68.195,0.695801
68.2,1.88599
68.205,0.10376
68.21,1.31836
68.215,2.34985
68.22,1.75171
68.225,1.28174
