sec,EEG,alpha,beta,delta,theta 
4.025,-43.4937,-0.226874,-0.632691,-44.7065,0.0939844
4.03,-43.8538,-0.347769,-0.490026,-44.5454,-0.0573245
4.035,-42.9749,-0.426626,-0.141705,-44.3705,-0.20537
4.04,-42.4316,-0.449467,0.167916,-44.1836,-0.349108
4.045,-42.5171,-0.41023,0.247234,-43.9862,-0.487251
4.05,-42.6392,-0.311797,0.0893676,-43.7801,-0.618364
4.055,-42.7612,-0.165363,-0.130955,-43.5666,-0.741002
4.06,-43.1152,0.0108171,-0.190267,-43.3471,-0.853726
4.065,-43.042,0.193725,0.0172436,-43.1228,-0.954928
4.07,-42.1814,0.358914,0.397039,-42.8948,-1.04289
4.075,-41.3452,0.484005,0.711386,-42.6642,-1.11602
4.08,-41.6565,0.551748,0.735294,-42.4316,-1.17286
4.085,-42.7734,0.552161,0.402992,-42.198,-1.21194
4.09,-43.6096,0.484033,-0.150789,-41.9639,-1.23194
4.095,-43.6584,0.355278,-0.673588,-41.7299,-1.23199
4.1,-44.2017,0.181843,-0.936585,-41.4963,-1.21169
4.105,-44.5007,-0.0147133,-0.843075,-41.2634,-1.17094
4.11,-43.7988,-0.210029,-0.45247,-41.0314,-1.11005
4.115,-43.0725,-0.379951,0.0757578,-40.8005,-1.02996
4.12,-42.9199,-0.503703,0.565948,-40.5705,-0.932161
4.125,-43.0969,-0.566732,0.883864,-40.3415,-0.818474
4.13,-42.4194,-0.562387,0.95422,-40.1133,-0.691109
4.135,-41.4246,-0.492397,0.759853,-39.8856,-0.552898
4.14,-41.3513,-0.366506,0.346657,-39.6581,-0.407073
4.145,-42.1631,-0.2012,-0.170853,-39.4306,-0.25693
4.15,-42.395,-0.0173335,-0.625066,-39.2027,-0.105891
4.155,-41.8152,0.162833,-0.851066,-38.9739,0.0424709
4.16,-40.7715,0.318508,-0.763412,-38.7437,0.184623
4.165,-40.0574,0.432592,-0.40753,-38.5119,0.317332
4.17,-39.0015,0.493739,0.0551497,-38.2778,0.4377
4.175,-38.031,0.497679,0.429733,-38.041,0.543056
4.18,-37.7502,0.447198,0.591615,-37.801,0.631221
4.185,-37.7075,0.351213,0.544735,-37.5575,0.700736
4.19,-37.2314,0.2233,0.39347,-37.31,0.750752
4.195,-36.3831,0.0799983,0.25209,-37.0581,0.780964
4.2,-36.4746,-0.0615635,0.161238,-36.8015,0.79169
4.205,-36.9202,-0.185932,0.0736788,-36.5397,0.783977
4.21,-36.731,-0.281059,-0.0825282,-36.2726,0.759446
4.215,-36.0168,-0.339314,-0.315938,-36,0.720167
4.22,-35.9131,-0.357959,-0.531786,-35.7215,0.668477
4.225,-36.0352,-0.339253,-0.58155,-35.437,0.607059
4.23,-35.4004,-0.289438,-0.3715,-35.1466,0.538808
4.235,-34.0942,-0.217372,0.0488894,-34.8501,0.466466
4.24,-33.3313,-0.133041,0.491961,-34.5476,0.392616
4.245,-32.8857,-0.0463669,0.735514,-34.2392,0.31982
4.25,-32.2571,0.0339852,0.658823,-33.9249,0.250418
4.255,-31.8115,0.101637,0.31929,-33.6051,0.186141
4.26,-31.9031,0.152919,-0.0834123,-33.2798,0.128167
4.265,-32.1411,0.18663,-0.332909,-32.9495,0.0773359
4.27,-31.5918,0.203491,-0.327734,-32.6144,0.0340083
4.275,-30.6152,0.205793,-0.133482,-32.2748,-0.00206017
4.28,-30.1147,0.19665,0.0780616,-31.9313,-0.0317068
4.285,-30.1453,0.178905,0.153238,-31.5842,-0.0560667
4.29,-29.657,0.154719,0.0578843,-31.2341,-0.076514
4.295,-29.2175,0.125401,-0.111921,-30.8814,-0.0947199
4.3,-29.071,0.0913958,-0.20949,-30.5265,-0.112472
4.305,-29.1382,0.0524839,-0.146848,-30.1701,-0.131442
4.31,-28.6072,0.00835295,0.0459459,-29.8126,-0.153183
4.315,-27.5452,-0.0406321,0.248421,-29.4546,-0.179129
4.32,-27.3071,-0.092978,0.339617,-29.0966,-0.21044
4.325,-27.655,-0.146002,0.28153,-28.7391,-0.247689
4.33,-27.6306,-0.195607,0.13679,-28.3826,-0.29092
4.335,-27.3621,-0.236274,0.0117932,-28.0276,-0.33981
4.34,-27.2522,-0.261854,-0.0265855,-27.6745,-0.393523
4.345,-27.5024,-0.266724,0.00351013,-27.3238,-0.450654
4.35,-27.2583,-0.246641,0.0229696,-26.9758,-0.509225
4.355,-26.5686,-0.199445,-0.0361908,-26.631,-0.566941
4.36,-26.7212,-0.125836,-0.166054,-26.2895,-0.621293
4.365,-27.5391,-0.0300451,-0.277743,-25.9518,-0.669461
4.37,-27.0447,0.0801572,-0.262952,-25.6179,-0.708468
4.375,-25.7324,0.194231,-0.0800538,-25.2882,-0.735593
4.38,-25.0671,0.299692,0.202421,-24.9626,-0.748412
4.385,-25.2563,0.383536,0.438852,-24.6414,-0.74473
4.39,-25.3296,0.433934,0.494862,-24.3245,-0.722655
4.395,-24.7131,0.441981,0.333856,-24.0119,-0.681045
4.4,-24.5667,0.403073,0.0428609,-23.7036,-0.619493
4.405,-24.762,0.317589,-0.21974,-23.3994,-0.538213
4.41,-24.939,0.191217,-0.321929,-23.0992,-0.438203
4.415,-24.5239,0.0350656,-0.234905,-22.8028,-0.321391
4.42,-24.0173,-0.135216,-0.0404734,-22.5101,-0.190403
4.425,-23.8525,-0.301354,0.131002,-22.2206,-0.0483946
4.43,-23.5291,-0.444369,0.185931,-21.9341,0.100948
4.435,-22.6929,-0.546618,0.118752,-21.6502,0.253355
4.44,-22.3083,-0.594148,0.000462661,-21.3687,0.404142
4.445,-22.4548,-0.578873,-0.0801609,-21.0891,0.548622
4.45,-21.7407,-0.499665,-0.0773991,-20.8109,0.682196
4.455,-20.5383,-0.362548,-0.00969587,-20.5339,0.800327
4.46,-20.0806,-0.180477,0.0687324,-20.2575,0.898798
4.465,-19.696,0.0276949,0.116058,-19.9814,0.974066
4.47,-18.811,0.239355,0.130429,-19.7052,1.02339
4.475,-17.8528,0.430723,0.136651,-19.4283,1.04479
4.48,-17.7368,0.579459,0.149053,-19.1505,1.03714
